02.14.02.01 Tochilinite
02.14.03.01 Haapalaite
02.14.03.02 Yushkinite
02.14.04.01 Vyalsovite
02.14.05.01 Erdite
02.14.06.01 Coyoteite
02.14.07.01 Orickite
02.14.08.01 Wilhelmramsayite
02.15.01.01 Ardaite
02.15.02.01 Djerfisherite
02.15.02.02 Thalfenisite
02.15.02.03 Owensite
02.15.03.01 Kolarite
02.15.04.01 Radhakrishnaite
02.15.05.01 Perroudite
02.15.06.01 Capgaronnite
02.15.06.02 Iltisite
02.15.07.01 Mutnovskite
02.16.01.01 Mertieite-I
02.16.02.01 Isomertieite
02.16.02.02 Miessiite
02.16.03.01 Mertieite-II
02.16.04.01 Stillwaterite
02.16.05.01 Arsenopalladinite
02.16.06.01 Telluropalladinite
02.16.07.01 Balkanite
02.16.07.02 Danielsite
02.16.08.01 Betekhtinite
02.16.09.01 Larosite
02.16.10.01 Sopcheite
02.16.10.02 Chrisstanleyite
02.16.10.03 Jagueite
02.16.11.01 Henryite
02.16.12.01 Furutobeite
02.16.12.02 Schlemaite
02.16.13.01 Stutzite
02.16.14.01 Gortdrumite
02.16.15.01 Rickardite
02.16.15.02 Oosterboschite
02.16.16.01 Maucherite
02.16.17.01 Athabascaite
02.16.18.01 Penzhinite
02.16.19.01 Palladseite
02.16.19.02 Miassite
02.16.19.02a Prassoite
02.16.20.01 Cameronite
02.16.21.01 Patronite
02.16.22.01 Vasilite
02.16.23.01 Luberoite
03.01.01.01 Colusite
03.01.01.02 Germanocolusite
03.01.01.03 Nekrasovite
03.01.01.04 Stibiocolusite
03.01.02.01 Vinciennite
03.01.03.01 Levyclaudite
03.01.04.01 Cylindrite
03.01.04.02 Franckeite
03.01.04.03 Incaite
03.01.04.04 Potosiite
03.01.04.05 Abramovite
03.01.04.06 Coiraite
03.01.05.01 Miharaite
03.01.06.01 Billingsleyite
03.01.07.01 Arsenpolybasite
03.01.07.02 Polybasite
03.01.07.03 Selenopolybasite
03.01.07.04 Cupropolybasite
03.01.08.01 Pearceite
03.01.08.02 Antimonpearceite
03.01.08.03 Cupropearceite
03.01.09.01 Petrovicite
03.01.09.02 Mazzettiite
03.01.10.01 Benleonardite
03.01.11.01 Aschamalmite
03.01.12.01 Tsnigriite
03.01.13.01 Baksanite
03.02.01.01 Enargite
03.02.02.01 Luzonite
03.02.02.02 Famatinite
03.02.02.03 Permingeatite
03.02.03.01 Sulvanite
03.02.03.02 Arsenosulvanite
03.02.04.01 Stephanite
03.02.04.02 Selenostephanite
03.02.05.01 Hauchecornite
03.02.05.02 Bismutohauchecornite
03.02.05.03 Tellurohauchecornite
03.02.05.04 Arsenohauchecornite
03.02.05.05 Tucekite
03.02.06.01 Arcubisite
03.02.06.02 Fettelite
03.02.07.01 Chalcothallite
03.02.08.01 Chameanite
03.02.09.01 Fangite
03.02.10.01 Angelaite
03.03.01.01 Jordanite
03.03.01.02 Geocronite
03.03.02.01 Gratonite
03.03.03.01 Heyrovskyite
03.03.03.02 Mozgovaite
03.03.04.01 Nuffieldite
03.03.04.02 Tsugaruite
03.03.05.01 Meneghinite
03.03.06.01 Tetrahedrite
03.03.06.02 Tennantite
03.03.06.03 Freibergite
03.03.06.04 Hakite
03.03.06.05 Giraudite
03.03.06.06 Goldfieldite
03.03.06.07 Argentotennantite
03.03.07.01 Lengenbachite
